Optical spectroscopy readings:
Time: 14:10:19
Date: 31-7-2024
Slit width: 100 microns
Dwell time: 300 milliseconds
Start wavelength: 6581 Angstroms
End wavelength: 6590 Angstroms
Increment: 0.2 Angstroms


0300065810659000002
Begin scan:


06581.0,000002
06581.2,000001
06581.4,000002
06581.6,000004
06581.8,000010
06582.0,000000
06582.2,000002
06582.4,000006
06582.6,000009
06582.8,000013
06583.0,000026
06583.2,000039
06583.4,000102
06583.6,000187
06583.8,000357
06584.0,000547
06584.2,000828
06584.4,001037
06584.6,001285
06584.8,001390
06585.0,001564
06585.2,001528
06585.4,001426
06585.6,001349
06585.8,001216
06586.0,001097
06586.2,000909
06586.4,000722
06586.6,000505
06586.8,000319
06587.0,000217
06587.2,000113
06587.4,000037
06587.6,000026
06587.8,000009
06588.0,000008
06588.2,000003
06588.4,000002
06588.6,000004
06588.8,000007
06589.0,000005
06589.2,000001
06589.4,000001
06589.6,000002
06589.8,000004
06590.0,000003
