wavelength,count
4117.0,0
4117.2,0
4117.4,0
4117.6,1
4117.8,0
4118.0,0
4118.2,1
4118.4,1
4118.6,0
4118.8,3
4119.0,8
4119.2,28
4119.4,58
4119.6,119
4119.8,181
4120.0,300
4120.2,448
4120.4,661
4120.6,795
4120.8,1138
4121.0,1427
4121.2,1707
4121.4,1960
4121.6,2340
4121.8,2932
4122.0,3334
4122.2,3441
4122.4,3712
4122.6,3875
4122.8,3750
4123.0,3493
4123.2,3064
4123.4,2813
4123.6,2212
4123.8,1703
4124.0,1405
4124.2,1166
4124.4,892
4124.6,635
4124.8,479
4125.0,247
4125.2,180
4125.4,135
4125.6,89
4125.8,46
4126.0,19
4126.2,11
4126.4,2
4126.6,2
4126.8,0
4127.0,1
4127.2,0
4127.4,0
4127.6,0
4127.8,1
4128.0,0
4128.2,0
4128.4,0
4128.6,1
